id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
1,甬优7850,甬粳78A×F9250,三系杂交稻,宁波市种子有限公司,浙审稻2015011,,,,,,,,,,,,,,,,,,,,,,,,
2,钱优930,钱江3号A×浙恢930,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013018,,,,,,,,,,,,,,,,,,,,,,,,
3,中组9号,G02-187×中嘉早17,籼型常规稻,中国水稻研究所,浙审稻2012003,,,,,,,,,,,,,,,,,,,,,,,,
4,甬优1140,甬粳6号A×F7540,三系杂交稻,宁波市种子有限公司,浙审稻2015010,,,,,,,,,,,,,,,,,,,,,,,,
5,钱优1890,钱江1号A×T1890,籼型三系杂交稻,台州市农业科学研究院等,浙审稻2015009,,,,,,,,,,,,,,,,,,,,,,,,
6,秀水134,丙95-59//测212/RHT×丙03-123,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2010003,,,,,,,,,,,,,,,,,,,,,,,,
7,赣香优9141,赣香A×浙恢9141,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2015008,,,,,,,,,,,,,,,,,,,,,,,,
8,钱3优982,钱江3号A×R982,籼型三系杂交稻,中国农业科学院作物科学研究所等,浙审稻2015007,,,,,,,,,,,,,,,,,,,,,,,,
9,钱优0618,钱江1号A×浙恢0618,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2009009,,,,,,,,,,,,,,,,,,,,,,,,
10,钱优9号,钱江1号A×HKK9,籼型三系杂交稻,安徽绿雨种业股份有限公司,浙审稻2015006,,,,,,,,,,,,,,,,,,,,,,,,
11,钱优2015,钱江1号A×金恢2015,籼型三系杂交稻,金华市农业科学研究院等,浙审稻2015005,,,,,,,,,,,,,,,,,,,,,,,,
12,浙408,G9968×丰43,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2007027,,,,,,,,,,,,,,,,,,,,,,,,
13,宁84,嘉花1号//宁175/丙98-110×丙05-012,粳型常规稻,宁波市农业科学研究院,浙审稻2015004,,,,,,,,,,,,,,,,,,,,,,,,
14,甬优4550,甬粳45A×F9250,粳型三系杂交稻,宁波市种子有限公司,浙审稻2015003,,,,,,,,,,,,,,,,,,,,,,,,
15,航天36,秀水1067,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2006017,,,,,,,,,,,,,,,,,,,,,,,,
16,甬优4350,甬粳43A×F9250,粳型三系杂交稻,宁波市种子有限公司,浙审稻2015002,,,,,,,,,,,,,,,,,,,,,,,,
17,嘉育938,浙农43×嘉育253/G01-139,籼型常规稻,嘉兴市农业科学研究院等,浙审稻2015001,,,,,,,,,,,,,,,,,,,,,,,,
18,浙粳50,秀水63×秀水63/嘉58,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2005010,,,,,,,,,,,,,,,,,,,,,,,,
19,绍粳31,嘉03-23×R03-109,粳型常规稻,绍兴市农业科学研究院,浙审稻2014018,,,,,,,,,,,,,,,,,,,,,,,,
20,甬优1540,甬粳15A×F7540,籼型三系杂交稻,宁波市种子有限公司,浙审稻2014017,,,,,,,,,,,,,,,,,,,,,,,,
21,甬优4号,甬粳2号A×K2001,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2003016,,,,,,,,,,,,,,,,,,,,,,,,
22,春优149,春江19A×CH149,粳型三系杂交稻,中国水稻研究所等,浙审稻2014016,,,,,,,,,,,,,,,,,,,,,,,,
23,甬优362,甬粳5号A×F7562,粳型三系杂交稻,宁波市种子有限公司,浙审稻2014015,,,,,,,,,,,,,,,,,,,,,,,,
24,甬优2号,甬粳2号A×K1722,粳型三系杂交稻,宁波市农科院等,浙品审字第235号,,,,,,,,,,,,,,,,,,,,,,,,
25,浙优13,浙04A×浙恢H813,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2014014,,,,,,,,,,,,,,,,,,,,,,,,
26,钱优911,钱江1号A×浙恢9111,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2014013,,,,,,,,,,,,,,,,,,,,,,,,
27,浙农大454,丙889/中8029×台202,粳型常规稻,浙江大学农业与生物技术学院,浙品审字第188号,,,,,,,,,,,,,,,,,,,,,,,,
28,甬优1510,甬粳15A×F7510,籼型三系杂交稻,宁波市种子有限公司,浙审稻2014012,,,,,,,,,,,,,,,,,,,,,,,,
29,深两优884,深08S×R5884,籼型两系杂交稻,浙江勿忘农种业股份有限公司,浙审稻2014011,,,,,,,,,,,,,,,,,,,,,,,,
30,甬粳44,甬粳29×秀水04,粳型常规稻,浙江省宁波市农业科学研究所,浙品审字第128号,,,,,,,,,,,,,,,,,,,,,,,,
31,甬优1512,甬粳15A×F7512,籼型三系杂交稻,宁波市种子有限公司,浙审稻2014010,,,,,,,,,,,,,,,,,,,,,,,,
32,辐籼6号,辐774×IR26,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第049号,,,,,,,,,,,,,,,,,,,,,,,,
33,广两优9388,广占63S×中恢9388,籼型两系杂交稻,中国水稻研究所,浙审稻2014009,,,,,,,,,,,,,,,,,,,,,,,,
34,钱优16,钱江3号A×浙恢916,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2014008,,,,,,,,,,,,,,,,,,,,,,,,
35,内5优36,内香5A×中恢36,籼型三系杂交稻,浙江勿忘农种业股份有限公司,浙审稻2014007,,,,,,,,,,,,,,,,,,,,,,,,
36,钱优146,钱江1号A×中恢H146,籼型三系杂交稻,江苏省大华种业集团有限公司,浙审稻2014006,,,,,,,,,,,,,,,,,,,,,,,,
37,华风优6086,巨风A×华恢6086,籼型三系杂交稻,华中农业大学等,浙审稻2014005,,,,,,,,,,,,,,,,,,,,,,,,
38,陵两优0516,湘陵628S×05YP16,籼型两系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2014004,,,,,,,,,,,,,,,,,,,,,,,,
39,中冷23,嘉育253×耐冷广四,籼型常规稻,中国水稻研究所,浙审稻2014003,,,,,,,,,,,,,,,,,,,,,,,,
40,温926,嘉育46×中组1号,籼型常规稻,温州市农业科学研究院等,浙审稻2014002,,,,,,,,,,,,,,,,,,,,,,,,
41,甬籼975,嘉早311×嘉育293,籼型常规稻,宁波市农业科学研究院等,浙审稻2014001,,,,,,,,,,,,,,,,,,,,,,,,
42,甬优2640,甬粳26A×F7540,粳型三系杂交稻,宁波市种子有限公司,浙审稻2013024,,,,,,,,,,,,,,,,,,,,,,,,
43,甬优1640,甬粳16A×F7540,粳型三系杂交稻,宁波市种子有限公司,浙审稻2013023,,,,,,,,,,,,,,,,,,,,,,,,
44,甬优538,甬粳3号A×F7538,粳型三系杂交稻,宁波市种子有限公司,浙审稻2013022,,,,,,,,,,,,,,,,,,,,,,,,
45,浙糯优1号,浙糯1A×浙糯恢04-01,粳型三系杂交稻,浙江勿忘农种业股份有限公司,浙审稻2013021,,,,,,,,,,,,,,,,,,,,,,,,
46,春优84,春江16A×C84,粳型三系杂交稻,中国水稻研究所等,浙审稻2013020,,,,,,,,,,,,,,,,,,,,,,,,
47,钱优嘉8号,钱江1号A×08HMZR13,籼型三系杂交稻,嘉兴市农业科学研究院等,浙审稻2013019,,,,,,,,,,,,,,,,,,,,,,,,
48,钱优906,钱江3号A×浙恢906,籼型三系杂交稻,福建六三种业有限责任公司等,浙审稻2013017,,,,,,,,,,,,,,,,,,,,,,,,
49,天优H145,天丰A×中恢H145,籼型三系杂交稻,中国水稻研究所等,浙审稻2013016,,,,,,,,,,,,,,,,,,,,,,,,
50,安优18,安早9A×pah18,籼型三系杂交稻,浙江可得丰种业有限公司,浙审稻2013015,,,,,,,,,,,,,,,,,,,,,,,,
51,钱优97,钱江3号A×浙恢907,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013014,,,,,,,,,,,,,,,,,,,,,,,,
52,天优8025,天丰A×R8025,籼型三系杂交稻,中国水稻研究所等,浙审稻2013013,,,,,,,,,,,,,,,,,,,,,,,,
53,广两优7203,广占63S×中恢7203,籼型两系杂交稻,中国水稻研究所等,浙审稻2013012,,,,,,,,,,,,,,,,,,,,,,,,
54,嘉58,嘉33×嘉0664,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2013011,,,,,,,,,,,,,,,,,,,,,,,,
55,浙粳98,丙02-09×丙01-113,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013010,,,,,,,,,,,,,,,,,,,,,,,,
56,浙粳60,丙05-129×丙03-123,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013009,,,,,,,,,,,,,,,,,,,,,,,,
57,浙粳59,丙02-105×丙03-33,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013008,,,,,,,,,,,,,,,,,,,,,,,,
58,浙粳97,R4028×R4101,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013007,,,,,,,,,,,,,,,,,,,,,,,,
59,甬优720,甬粳7号A×甬恢20,粳型三系杂交稻,宁波市种子有限公司,浙审稻2013006,,,,,,,,,,,,,,,,,,,,,,,,
60,陆两优1733,陆18S×R1733,籼型两系杂交稻,中国水稻研究所等,浙审稻2013005,,,,,,,,,,,,,,,,,,,,,,,,
61,株两优813,株1S×08EZ13,籼型两系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013004,,,,,,,,,,,,,,,,,,,,,,,,
62,嘉育89,G04-84×G04-244,籼型常规稻,嘉兴市农业科学研究院,浙审稻2013003,,,,,,,,,,,,,,,,,,,,,,,,
63,嘉早37,TA105/嘉早935×Z6309,籼型常规稻,嘉兴市农业科学研究院,浙审稻2013002,,,,,,,,,,,,,,,,,,,,,,,,
64,温814,G99-46×甬籼57,籼型常规稻,温州市农业科学研究院,浙审稻2013001,,,,,,,,,,,,,,,,,,,,,,,,
65,浙优18,浙04A×浙恢818,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2012020,,,,,,,,,,,,,,,,,,,,,,,,
66,春优618,春江16A×C18,粳型三系杂交稻,中国水稻研究所,浙审稻2012019,,,,,,,,,,,,,,,,,,,,,,,,
67,甬优17号,甬粳4号A×甬恢12,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2012018,,,,,,,,,,,,,,,,,,,,,,,,
68,甬优15号,京双A×F5032,籼型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2012017,,,,,,,,,,,,,,,,,,,,,,,,
69,嘉禾优555,嘉禾212A×嘉禾555,粳型三系杂交稻,浙江省嘉兴市农业科学研究院等,浙审稻2012016,,,,,,,,,,,,,,,,,,,,,,,,
70,嘉优6号,嘉335A×嘉恢69,粳型三系杂交稻,浙江省嘉兴市农业科学研究院等,浙审稻2012015,,,,,,,,,,,,,,,,,,,,,,,,
71,中浙优10号,中浙A×06制7-10,籼型三系杂交稻,中国水稻研究所等,浙审稻2012014,,,,,,,,,,,,,,,,,,,,,,,,
72,协优H118,协青早A×中恢H118,籼型三系杂交稻,中国水稻研究所等,浙审稻2012013,,,,,,,,,,,,,,,,,,,,,,,,
73,天优8019,天丰A×中恢8019,籼型三系杂交稻,中国水稻研究所等,浙审稻2012012,,,,,,,,,,,,,,,,,,,,,,,,
74,钱优817,钱江1号A×金恢817,籼型三系杂交稻,金华市农业科学研究院等,浙审稻2012011,,,,,,,,,,,,,,,,,,,,,,,,
75,嘉晚优1号,嘉晚36A×MH23,籼型三系杂交稻,中科院遗传发育所嘉兴农作物高新技术育种中心等,浙审稻2012010,,,,,,,,,,,,,,,,,,,,,,,,
76,秀水321,秀水994/嘉禾991//K1×秀水09,粳型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2012009,,,,,,,,,,,,,,,,,,,,,,,,
77,浙粳112,嘉01-5×秀水113,粳型常规稻,浙江省农业科学院,浙审稻2012008,,,,,,,,,,,,,,,,,,,,,,,,
78,春江糯6号,丙02-105×祥湖301,粳型常规稻,中国水稻研究所,浙审稻2012007,,,,,,,,,,,,,,,,,,,,,,,,
79,湖粳640,HZ02-03/台271//嘉991×嘉991,粳型常规稻,湖州市农业科学研究院等,浙审稻2012006,,,,,,,,,,,,,,,,,,,,,,,,
80,秀水519,苏秀9号×秀水123,粳型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2012005,,,,,,,,,,,,,,,,,,,,,,,,
81,台早733,JS01-41×台早12/嘉早43,籼型常规稻,台州市农业科学研究院,浙审稻2012004,,,,,,,,,,,,,,,,,,,,,,,,
82,中早41,G02-187×中嘉早32,籼型常规稻,中国水稻研究所,浙审稻2012002,,,,,,,,,,,,,,,,,,,,,,,,
83,温718,中选181×H1564,籼型常规稻,温州市农业科学研究院,浙审稻2012001,,,,,,,,,,,,,,,,,,,,,,,,
84,秀优378,秀水3A×XR78,粳型三系杂交稻,嘉兴市农业科学研究院等,浙审稻2011017,,,,,,,,,,,,,,,,,,,,,,,,
85,Y两优5867,Y58S×R674,籼型两系杂交稻,江西科源种业有限公司等,浙审稻2011016,,,,,,,,,,,,,,,,,,,,,,,,
86,Y两优689,Y58S×温恢689,籼型两系杂交稻,温州市农业科学研究院等,浙审稻2011015,,,,,,,,,,,,,,,,,,,,,,,,
87,钱优0724,钱江1号A×浙恢0724,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2011014,,,,,,,,,,,,,,,,,,,,,,,,
88,九优063,九龙A×ZF20,籼型三系杂交稻,中国水稻研究所,浙审稻2011013,,,,,,,,,,,,,,,,,,,,,,,,
89,天优2180,天丰A×中恢218,籼型三系杂交稻,中国水稻研究所等,浙审稻2011012,,,,,,,,,,,,,,,,,,,,,,,,
90,中浦优华占,中99A×华占,籼型三系杂交稻,中国水稻研究所等,浙审稻2011011,,,,,,,,,,,,,,,,,,,,,,,,
91,绍粳18,R0308×ZH236,粳型常规稻,绍兴市农业科学研究院,浙审稻2011010,,,,,,,,,,,,,,,,,,,,,,,,
92,秀水05,秀水128×秀水123,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2011009,,,,,,,,,,,,,,,,,,,,,,,,
93,浙粳88,春江012×R2045,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2011008,,,,,,,,,,,,,,,,,,,,,,,,
94,浙糯65,丙98-110×丙98-110///丙850//丙850/BBW,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2011007,,,,,,,,,,,,,,,,,,,,,,,,
95,秀水414,秀水09×甬单6号/丙98-101//秀水994,粳型常规稻,嘉兴市农业科学研究院,浙审稻2011006,,,,,,,,,,,,,,,,,,,,,,,,
96,株两优609,株1S×06EZ09,籼型两系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2011005,,,,,,,,,,,,,,,,,,,,,,,,
97,嘉育66,嘉育253×嘉育143,籼型常规稻,嘉兴市农业科学研究院,浙审稻2011004,,,,,,,,,,,,,,,,,,,,,,,,
98,中佳早66,嘉育293×金97-47,籼型常规稻,中国水稻研究所,浙审稻2011003,,,,,,,,,,,,,,,,,,,,,,,,
99,嘉早309,03YK7×ZH308/嘉早312//Z02-318,籼型常规稻,嘉兴市农业科学研究院,浙审稻2011002,,,,,,,,,,,,,,,,,,,,,,,,
100,辐501,Z96-12×Z95-03,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2011001,,,,,,,,,,,,,,,,,,,,,,,,
101,嘉乐优100,151A×GR100,粳型三系杂交稻,嘉兴市秀州区农业科学研究所等,浙审稻2010018,,,,,,,,,,,,,,,,,,,,,,,,
102,嘉优5号,嘉335A×嘉恢125,粳型三系杂交稻,嘉兴市农业科学研究院等,浙审稻2010017,,,,,,,,,,,,,,,,,,,,,,,,
103,甬优13号,甬粳3号A×F5032,粳型三系杂交稻,宁波市农业科学研究院等,浙审稻2010016,,,,,,,,,,,,,,,,,,,,,,,,
104,甬优12号,甬粳2号A×F5032,粳型三系杂交稻,宁波市农业科学研究院等,浙审稻2010015,,,,,,,,,,,,,,,,,,,,,,,,
105,黄华占,黄新占×丰华占,籼型常规稻,广东省农业科学院水稻研究所,浙审稻2010014,,,,,,,,,,,,,,,,,,,,,,,,
106,川农优527,川农1A×蜀恢527,籼型三系杂交稻,四川农业大学水稻研究所等,浙审稻2010013,,,,,,,,,,,,,,,,,,,,,,,,
107,川香优3203,川香29A×成恢3203,籼型三系杂交稻,四川省农业科学院作物研究所,浙审稻2010012,,,,,,,,,,,,,,,,,,,,,,,,
108,九优9号,94A×农华19,籼型三系杂交稻,北京金色农华种业科技有限公司,浙审稻2010011,,,,,,,,,,,,,,,,,,,,,,,,
109,协优中1号,协青早A×中组14,籼型三系杂交稻,中国水稻研究所等,浙审稻2010010,,,,,,,,,,,,,,,,,,,,,,,,
110,钱优2号,钱江1号A×浙恢0702,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2010009,,,,,,,,,,,,,,,,,,,,,,,,
111,培两优612,培矮64S×Y02-12,籼型两系杂交稻,中国水稻研究所,浙审稻2010008,,,,,,,,,,,,,,,,,,,,,,,,
112,协优2226,协青早A×T2226,籼型三系杂交稻,台州市农业科学研究院等,浙审稻2010007,,,,,,,,,,,,,,,,,,,,,,,,
113,协优702,协青早A×H702,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2010006,,,,,,,,,,,,,,,,,,,,,,,,
114,浙粳37,R2045/秀水110×秀水110,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2010005,,,,,,,,,,,,,,,,,,,,,,,,
115,秀水12,秀水09×丙03-123,粳型常规稻,嘉兴市农业科学研究院,浙审稻2010004,,,,,,,,,,,,,,,,,,,,,,,,
116,春江063,嘉花1号×甬粳18,粳型常规稻,中国水稻研究所,浙审稻2010002,,,,,,,,,,,,,,,,,,,,,,,,
117,宁82,秀水110×丙96-241/甬粳18,粳型常规稻,宁波市农业科学研究院,浙审稻2010001,,,,,,,,,,,,,,,,,,,,,,,,
118,嘉育140,嘉育21×G02-186,籼型常规稻,嘉兴市农业科学研究院,浙审稻2009041,,,,,,,,,,,,,,,,,,,,,,,,
119,中选056,中选181×Z95-03,籼型常规稻,中国水稻研究所,浙审稻2009040,,,,,,,,,,,,,,,,,,,,,,,,
120,中早39,嘉育253×中组3号,籼型常规稻,中国水稻研究所,浙审稻2009039,,,,,,,,,,,,,,,,,,,,,,,,
121,中早38,中选181×金2000-10,籼型常规稻,中国水稻研究所,浙审稻2009038,,,,,,,,,,,,,,,,,,,,,,,,
122,台早518,嘉育253×嘉943,籼型常规稻,浙江省台州市农业科学研究院,浙审稻2009037,,,,,,,,,,,,,,,,,,,,,,,,
123,嘉优608,嘉60A×嘉恢82,粳型三系杂交稻,浙江省嘉兴市农业科学研究院等,浙审稻2009036,,,,,,,,,,,,,,,,,,,,,,,,
124,浙粳优2号,浙粳3A×浙粳恢04-02,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2009035,,,,,,,,,,,,,,,,,,,,,,,,
125,八优315,8204A×浙恢H315,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2009034,,,,,,,,,,,,,,,,,,,,,,,,
126,春优658,春江16A×CH58,粳型三系杂交稻,中国水稻研究所等,浙审稻2009033,,,,,,,,,,,,,,,,,,,,,,,,
127,春优172,春江12A×C172,粳型三系杂交稻,中国水稻研究所等,浙审稻2009032,,,,,,,,,,,,,,,,,,,,,,,,
128,嘉优3号,嘉335A×嘉恢32,粳型三系杂交稻,浙江省嘉兴市农业科学研究院等,浙审稻2009031,,,,,,,,,,,,,,,,,,,,,,,,
129,甬优14号,甬粳3号A×F5006,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2009030,,,,,,,,,,,,,,,,,,,,,,,,
130,川优299,川香29A×科恢299,籼型三系杂交稻,四川科瑞种业有限公司等,浙审稻2009028,,,,,,,,,,,,,,,,,,,,,,,,
131,Ⅱ优0514,Ⅱ-32A×浙恢0514,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2009028,,,,,,,,,,,,,,,,,,,,,,,,
132,协优950,协青早A×中恢T950,籼型三系杂交稻,中国水稻研究所,浙审稻2009027,,,,,,,,,,,,,,,,,,,,,,,,
133,丰优9339,粤丰A×中恢9339,籼型三系杂交稻,中国水稻研究所,浙审稻2009026,,,,,,,,,,,,,,,,,,,,,,,,
134,Ⅱ优023,Ⅱ-32A×杭恢023,籼型三系杂交稻,杭州市农业科学研究院等,浙审稻2009025,,,,,,,,,,,,,,,,,,,,,,,,
135,钱优0612,钱江1号A×浙恢0612,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2009024,,,,,,,,,,,,,,,,,,,,,,,,
136,Ⅱ优598,Ⅱ-32A×浙恢205,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2009023,,,,,,,,,,,,,,,,,,,,,,,,
137,农丰优2008,农丰A×04-1,籼型三系杂交稻,金华市农业科学研究院,浙审稻2009022,,,,,,,,,,,,,,,,,,,,,,,,
138,351优1号,351A×温恢221,籼型三系杂交稻,温州市农业科学研究院等,浙审稻2009021,,,,,,,,,,,,,,,,,,,,,,,,
139,昌丰优1286,昌丰A×中恢1286,籼型三系杂交稻,中国水稻研究所,浙审稻2009020,,,,,,,,,,,,,,,,,,,,,,,,
140,Ⅱ优54,Ⅱ-32A×中恢05-54,籼型三系杂交稻,中国水稻研究所,浙审稻2009019,,,,,,,,,,,,,,,,,,,,,,,,
141,G优803,G2480A×蜀恢2032,籼型三系杂交稻,四川农大高科农业有限责任公司,浙审稻2009018,,,,,,,,,,,,,,,,,,,,,,,,
142,金优11,金23A×龙恢11,籼型三系杂交稻,四川华龙种业有限责任公司,浙审稻2009017,,,,,,,,,,,,,,,,,,,,,,,,
143,D优781,D62A×蜀恢781,籼型三系杂交稻,四川农业大学水稻研究所,浙审稻2009016,,,,,,,,,,,,,,,,,,,,,,,,
